ZONING,ZONING_WEB_URL,ZONING_CHANGE_NARRATIVE,ZONING_STATUS,ZONING_LABEL,ZONE_DESCRIPTION,ZONE_DISTRICT,IZ_DESIGNATION,ZR58,ZR16,GLOBALID,OBJECTID,SHAPEAREA,SHAPELEN
MU-4,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,Fixed Topology Errors 10/31/13,Final,MU-4,Permits moderate density mixed use development,Mixed-Use Zone,,C-2-A,MU-4,{7CCB24BE-C9A6-4942-9376-EF59E90259F5},741079,0,0
MU-4,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,Fixed Mapping Error 11/6/13,Final,MU-4,Permits moderate density mixed use development,Mixed-Use Zone,,C-2-A,MU-4,{E4242068-8425-472E-86B2-A0DCB1D7AF9C},741080,0,0
MU-7B,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-7/,"Corrected Split Owner Poly Lot 11/26/13; ZC 21-08 renamed zone from MU-7 to MU-7B",Final,MU-7B,Permits medium density mixed-use development,Mixed-Use Zone,,C-3-A,MU-7B,{8A342C90-F77B-4E3F-B71C-D3E3C4F5C9ED},741081,0,0
MU-7B,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-7/,"Official Digital Zoning Map of July 1, 2010; ZC 21-08 renamed zone from MU-7 to MU-7B",Final,MU-7B,Permits medium density mixed-use development,Mixed-Use Zone,,C-3-A,MU-7B,{4C9C65EA-D00C-4747-9F93-968ADE285CE5},741082,0,0
RA-3,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-3/,"ZC Order No. 13-07, June 9, 2014",Final,RA-3,Permits moderate to medium density apartments,Residential Apartment Zone,,R-5-C,RA-3,{5507F625-1D3A-40ED-8828-E4CD0B8E683D},741083,0,0
PDR-1,https://handbook.dcoz.dc.gov/zones/production-distribution-and-repair/pdr-1/,"Misc map corrections in Square 3825 on March 26, 2012",Final,PDR-1,"Permits moderate density commercial and production, distribution, and repair activities requiring some heavy machinery","Production, Distribution, and Repair Zone",,C-M-1,PDR-1,{C20DF25D-17CE-4BE6-BCDE-BC1B7085CAA0},741084,0,0
RA-4,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-4/,"Official Digital Zoning Map of July 1, 2010",Final,RA-4,Permits medium to high-desnity apartments,Residential Apartment Zone,,R-5-D,RA-4,{5964D85C-351E-463A-8AB5-7F17856262D8},741085,0,0
MU-3A,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Official Digital Zoning Map of July 1, 2010",Final,MU-3A,Permits low density mixed use development ,Mixed-Use Zone,,C-1,MU-3A,{D53996FA-FB9C-4707-B08E-A8453B3E2048},741086,0,0
R-1-B,https://handbook.dcoz.dc.gov/zones/residential/R-1-B/,"Official Digital Zoning Map of July 1, 2010",Final,R-1-B,Provides areas predominantly developed with detached houses on moderately sized lots.,Residential Zone,,R-1-B,R-1-B,{3D46CC58-216B-41C3-A809-4C005F9207F2},741087,0,0
MU-10,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-10/,"Correction made on Feb 27, 2012 to match DCGIS Baist Map ",Final,MU-10,Permits medium to high density mixed-use development with a balance of uses ,Mixed-Use Zone,,CR,MU-10,{EAB4CFE4-9B53-4EE3-B403-6791545CD906},741088,0,0
MU-4,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,Mixed-Use Zone,,C-2-A,MU-4,{3254751C-9759-4C0F-9487-86249443CACE},741089,0,0
RA-4,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-4/,Changed Zoning Boundary to run along the center line of the alley in Square 0152 between lots 196 and 186,Final,RA-4,Permits medium to high-desnity apartments,Residential Apartment Zone,,R-5-D,RA-4,{B1860E58-EE88-494C-BBA2-B5091DECF768},741090,0,0
MU-7B,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-7/,"Fixed mapping error to in Square 1964 on March 16, 2012 to match DCGIS Baist Map; ZC 21-08 renamed zone from MU-7 to MU-7B",Final,MU-7B,Permits medium density mixed-use development,Mixed-Use Zone,,C-3-A,MU-7B,{7A56F722-63DD-43AE-AF6C-E14D7FB581DC},741091,0,0
UNZONED,https://handbook.dcoz.dc.gov/,"Fixed Zoning Boundary to match DCGIS Baist Map on March 14, 2012; Misc map corrections in Square 1427 & 1521 on April 17, 2012",Final,UNZONED,,Unzoned,,UNZONED,UNZONED,{1CD8E7DA-F163-4AA1-A1CA-944F31116CFC},741092,0,0
MU-4,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,Mixed-Use Zone,,C-2-A,MU-4,{4E3F8C7A-E38A-4948-B1CA-5053BC5EEE64},741093,0,0
RA-4,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-4/,"Fixed mapping error in Square 0175 between Lots 2 and 23 on March 1, 2012, Fixed zoning boundary in Square 2571 on March 19, 2012 to match official zoning records.  Map Amendment, ZC Case Order 11-08, 3/9/2012.",Final,RA-4,Permits medium to high-desnity apartments,Residential Apartment Zone,,R-5-D,RA-4,{C975C448-1FF7-4456-B69F-41A5AB36C80E},741094,0,0
RA-4,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-4/,"Official Digital Zoning Map of July 1, 2010",Final,RA-4,Permits medium to high-desnity apartments,Residential Apartment Zone,,R-5-D,RA-4,{5651C895-EBF1-4CE0-BC7E-4D1E48A22D83},741095,0,0
MU-5A,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-5A/,"Official Digital Zoning Map of July 1, 2010",Final,MU-5A,"Permits medium density, compact mixed-use development with an emphasis on residential use",Mixed-Use Zone,,C-2-B,MU-5A,{C3A3F379-5F14-41F8-B9E7-B3185AB48F8D},741096,0,0
MU-4,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Misc map corrections on March 7,2012 in Square 0507 b/w lots 818 & 94 and in Square 0614 b/w lots 115 & 51;Miscellaneous map correction in Square 3093, 3094, 3095 on March 23, 2012; Sq. 3103 Lot 800 added via ZC10-14 on 2/14/13",Final,MU-4,Permits moderate density mixed use development,Mixed-Use Zone,,C-2-A,MU-4,{9B088122-A8AE-4B3E-A066-03D1A41BF454},741097,0,0
MU-10,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-10/,Updated to include changes from Order 03-05,Final,MU-10,Permits medium to high density mixed-use development with a balance of uses ,Mixed-Use Zone,,CR,MU-10,{8C187665-5D14-452F-A835-9B834824F375},741098,0,0
MU-11,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-11/,"Official Digital Zoning Map of July 1, 2010",Final,MU-11,"Permits open space, park, and low-density and low-height waterfront-oriented retail and arts uses",Mixed-Use Zone,,W-0,MU-11,{51EA22BF-F484-41C0-A5D8-861E8A7E9D90},741099,0,0
R-1-A,https://handbook.dcoz.dc.gov/zones/residential/R-1-A/,"Misc map corrections in Square 2234 on Apr 27, 2012",Final,R-1-A,Provides areas predominantly developed with detached houses on large lots.,Residential Zone,,R-1-A,R-1-A,{F9472E58-E182-4411-9BA4-C5CF2AE666F5},741100,0,0
MU-5A,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-5A/,"Official Digital Zoning Map of July 1, 2010",Final,MU-5A,"Permits medium density, compact mixed-use development with an emphasis on residential use",Mixed-Use Zone,,C-2-B,MU-5A,{7A31815F-8178-42C3-AE90-72A79B0B4C05},741101,0,0
RA-4,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-4/,"Official Digital Zoning Map of July 1, 2010",Final,RA-4,Permits medium to high-desnity apartments,Residential Apartment Zone,,R-5-D,RA-4,{32E8C2FE-C840-4C18-A2A3-48D5D75BE614},741102,0,0
MU-3A,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Fixed zoning boundary in alley in Squares 1859, 1868 on March 15, 2012",Final,MU-3A,Permits low density mixed use development ,Mixed-Use Zone,,C-1,MU-3A,{DCBC0F91-F1FD-4D83-9956-EFE0A6AAE7DF},741103,0,0
R-1-A,https://handbook.dcoz.dc.gov/zones/residential/R-1-A/,"Official Digital Zoning Map of July 1, 2010",Final,R-1-A,Provides areas predominantly developed with detached houses on large lots.,Residential Zone,,R-1-A,R-1-A,{71E0BE2E-FA6E-4CB2-9668-267392DC37A1},741104,0,0
MU-25,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-25/,"Official Digital Zoning Map of July 1, 2010",Final,MU-25,Permits moderate density mixed-use development in the vicinity of the U.S. Capitol,Mixed-Use Zone,,CHC/C-2-A,MU-25,{4F73E5FB-FD04-4263-82AE-7D8D960ED93E},741105,0,0
MU-24,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-24/,"Official Digital Zoning Map of July 1, 2010",Final,MU-24,Permits moderate density mixed-use development in the vicinity of the U.S. Capitol,Mixed-Use Zone,,CAP/C-2-A,MU-24,{E172DEB6-F6EC-4DFB-BD0A-774DF4F4E2F1},741106,0,0
MU-25,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-25/,"Official Digital Zoning Map of July 1, 2010",Final,MU-25,Permits moderate density mixed-use development in the vicinity of the U.S. Capitol,Mixed-Use Zone,,CHC/C-2-A,MU-25,{0889D5A1-20FE-436E-825A-C0722C042F7B},741107,0,0
MU-2,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-2/,"Official Digital Zoning Map of July 1, 2010",Final,MU-2,Permits medium density residential and non-residential buildings,Mixed-Use Zone,,D/SP-2,MU-2,{CF7FEBD5-A838-4788-BED4-6F708086FDC8},741108,0,0
RC-3,https://handbook.dcoz.dc.gov/zones/special-purpose-zones/reed-cooke/rc-3/,"Official Digital Zoning Map of July 1, 2010",Final,RC-3,"Permits medium density, compact mixed use development with an emphasis on residential development",Special Purpose Zone,,RC/C-2-B,RC-3,{30ACC14E-5287-4B5E-A002-899696D232A5},741109,0,0
RC-3,https://handbook.dcoz.dc.gov/zones/special-purpose-zones/reed-cooke/rc-3/,"Official Digital Zoning Map of July 1, 2010",Final,RC-3,"Permits medium density, compact mixed use development with an emphasis on residential development",Special Purpose Zone,,RC/C-2-B,RC-3,{B3486982-B1DB-4360-8672-2C22020448A2},741110,0,0
RC-1,https://handbook.dcoz.dc.gov/zones/special-purpose-zones/reed-cooke/rc-1/,"Official Digital Zoning Map of July 1, 2010",Final,RC-1,Permits moderate and medium-density rowhouses and apartments,Special Purpose Zone,,RC/R-5-B,RC-1,{4738550F-4E4E-4041-9417-CEB2B56364BC},741111,0,0
R-1-B,https://handbook.dcoz.dc.gov/zones/residential/R-1-B/,"Official Digital Zoning Map of July 1, 2010",Final,R-1-B,Provides areas predominantly developed with detached houses on moderately sized lots.,Residential Zone,,D/R-1-B,R-1-B,{074CCCB1-11A5-487B-A219-CE471FE71F52},741112,0,0
D-5,https://handbook.dcoz.dc.gov/zones/downtown/d-5/,"Fixed zoning boundary in Square 0371 to match official zoning records on March 21, 2012",Final,D-5,Promotes high-density development of commercial and mixed-uses in areas that had been receiving areas for transferable development rights under Chapter 17 of the 1958 Zoning Regulations,Downtown Zone,,DD/C-3-C,D-5,{58F0CAEF-CC1B-4ABF-BC70-C2D27BF262F7},741113,0,0
